uhrzeit,visitors
22:00:00,0
22:05:00,14
22:10:00,26
22:15:00,36
22:20:00,44
22:25:00,52
22:30:00,62
22:35:00,73
22:40:00,84
22:45:00,94
22:50:00,103
22:55:00,109
23:00:00,116
23:05:00,110
23:10:00,106
23:15:00,105
23:20:00,104
23:25:00,102
23:30:00,99
23:35:00,95
23:40:00,91
23:45:00,88
23:50:00,88
23:55:00,88
00:00:00,87
00:05:00,94
00:10:00,99
00:15:00,103
00:20:00,107
00:25:00,113
00:30:00,120
00:35:00,127
00:40:00,134
00:45:00,138
00:50:00,142
00:55:00,146
01:00:00,152
01:05:00,148
01:10:00,146
01:15:00,143
01:20:00,139
01:25:00,133
01:30:00,126
01:35:00,120
01:40:00,115
01:45:00,112
01:50:00,108
01:55:00,103
02:00:00,95
02:05:00,101
02:10:00,107
02:15:00,113
02:20:00,122
02:25:00,133
02:30:00,143
02:35:00,152
02:40:00,160
02:45:00,167
02:50:00,176
02:55:00,186
03:00:00,199
03:05:00,198
03:10:00,195
03:15:00,191
03:20:00,185
03:25:00,178
03:30:00,172
03:35:00,167
03:40:00,164
03:45:00,160
03:50:00,154
03:55:00,146
04:00:00,137
04:05:00,128
04:10:00,121
04:15:00,117
04:20:00,113
04:25:00,109
04:30:00,104
04:35:00,97
04:40:00,91
04:45:00,85
04:50:00,82
04:55:00,80
05:00:00,77
05:05:00,73
05:10:00,67
05:15:00,59
05:20:00,51
05:25:00,44
05:30:00,40
05:35:00,35
05:40:00,31
05:45:00,24
05:50:00,16
05:55:00,8
06:00:00,2
