uhrzeit,visitors
22:00:00,0
22:05:00,7
22:10:00,13
22:15:00,17
22:20:00,20
22:25:00,21
22:30:00,23
22:35:00,26
22:40:00,30
22:45:00,34
22:50:00,38
22:55:00,40
23:00:00,41
23:05:00,45
23:10:00,50
23:15:00,55
23:20:00,63
23:25:00,72
23:30:00,82
23:35:00,92
23:40:00,101
23:45:00,109
23:50:00,117
23:55:00,124
00:00:00,133
00:05:00,142
00:10:00,153
00:15:00,164
00:20:00,173
00:25:00,181
00:30:00,187
00:35:00,187
00:40:00,187
00:45:00,189
00:50:00,191
00:55:00,195
01:00:00,198
01:05:00,202
01:10:00,204
01:15:00,205
01:20:00,206
01:25:00,209
01:30:00,212
01:35:00,214
01:40:00,217
01:45:00,220
01:50:00,222
01:55:00,223
02:00:00,222
02:05:00,220
02:10:00,219
02:15:00,218
02:20:00,219
02:25:00,219
02:30:00,220
02:35:00,218
02:40:00,215
02:45:00,211
02:50:00,207
02:55:00,204
03:00:00,202
03:05:00,196
03:10:00,190
03:15:00,185
03:20:00,179
03:25:00,172
03:30:00,164
03:35:00,156
03:40:00,149
03:45:00,144
03:50:00,140
03:55:00,136
04:00:00,132
04:05:00,125
04:10:00,116
04:15:00,107
04:20:00,97
04:25:00,88
04:30:00,80
04:35:00,76
04:40:00,72
04:45:00,67
04:50:00,62
04:55:00,55
05:00:00,48
05:05:00,42
05:10:00,38
05:15:00,36
05:20:00,35
05:25:00,34
05:30:00,32
05:35:00,28
05:40:00,23
05:45:00,18
05:50:00,12
05:55:00,8
06:00:00,4
