uhrzeit,visitors
00:27:39,0
00:27:44,0
00:27:47,1
00:27:47,0
00:27:48,-1
00:27:48,-2
00:27:49,-1
00:27:49,0
00:27:49,1
00:27:49,2
00:27:51,1
00:27:51,0
00:27:51,-1
00:27:51,-2
00:27:52,-3
00:27:52,-4
00:27:52,-5
00:27:52,-6
00:27:52,-7
00:27:52,-8
00:27:53,-9
00:27:53,-10
00:30:56,0
00:31:08,1
00:31:09,0
00:31:10,1
00:31:11,2
00:31:11,3
00:31:11,4
00:31:11,5
00:31:11,6
00:31:12,5
00:31:12,4
00:31:12,3
00:31:12,2
00:31:12,1
00:31:13,0
00:32:33,0
00:32:58,0
00:33:04,1
00:33:04,2
00:33:05,3
00:33:05,4
00:33:05,5
00:33:05,6
00:33:05,7
00:33:05,6
00:33:06,5
00:33:06,4
00:33:06,3
00:33:06,2
00:33:06,1
00:33:07,0
00:33:08,1
00:33:09,2
00:33:09,3
00:33:09,4
00:33:09,5
00:33:09,6
00:33:12,7
00:33:12,8
00:33:12,9
00:33:13,10
00:33:13,11
00:33:13,12
00:34:00,0
00:34:34,0
00:34:41,0
00:34:43,1
00:42:45,2
00:42:46,1
00:42:47,2
00:42:47,3
00:42:48,4
00:42:48,5
00:42:48,6
00:42:48,7
00:42:48,8
00:42:49,9
00:42:49,10
00:42:49,11
00:42:50,12
00:42:50,13
00:42:51,14
00:42:53,15
00:45:42,14
00:45:43,13
00:45:43,12
00:45:44,11
00:45:44,10
00:45:44,9
00:45:44,8
00:45:45,7
00:45:45,6
00:45:45,5
00:45:46,4
00:45:46,3
00:45:46,2
00:45:46,1
00:45:47,0
00:45:48,1
00:45:49,2
00:45:49,3
00:45:49,4
00:45:49,5
00:46:10,4
00:46:11,3
00:46:12,2
00:46:13,1
00:46:18,2
00:46:18,3
00:46:19,4
00:46:19,5
00:46:19,6
00:46:19,7
00:46:20,8
00:46:20,9
00:46:20,10
00:46:20,11
00:46:20,12
00:46:21,13
00:46:21,14
00:46:21,15
00:46:21,16
00:46:21,17
00:46:22,18
00:46:22,19
00:46:22,20
00:46:22,21
00:46:23,22
00:46:23,23
00:46:23,24
00:46:24,23
00:46:24,22
00:46:24,21
00:46:24,20
00:46:25,21
00:46:26,22
00:46:26,23
00:46:26,24
00:46:26,25
00:46:26,26
00:46:26,27
00:46:27,28
00:46:27,29
00:46:27,30
00:46:27,31
00:46:27,32
00:46:27,33
00:46:28,34
00:46:28,35
00:46:28,36
00:46:28,37
00:46:28,38
00:46:29,39
00:46:29,40
00:46:29,41
00:46:29,42
00:46:29,43
00:46:29,44
00:46:30,45
00:46:30,46
00:46:30,47
00:46:30,48
00:46:30,49
00:46:30,50
00:46:31,51
00:46:31,52
00:46:31,53
00:46:31,54
00:46:31,55
00:46:31,56
00:46:32,57
00:46:32,58
00:46:32,59
00:46:32,60
00:46:32,61
00:46:33,62
00:46:33,63
00:46:33,64
00:46:33,65
00:46:33,66
00:46:34,67
00:46:34,68
00:46:34,69
00:46:34,70
00:46:36,71
00:46:37,72
00:46:37,73
00:46:37,74
00:46:37,75
00:46:38,76
00:46:38,77
00:46:38,78
00:46:38,79
00:46:38,80
00:46:49,81
00:46:49,82
00:46:49,83
00:46:50,84
00:46:50,85
00:46:50,86
00:46:50,87
00:46:50,88
00:46:51,89
00:46:51,90
00:46:51,91
00:46:51,92
00:46:52,93
00:46:52,94
00:46:52,95
00:46:52,96
00:46:52,97
00:46:53,98
00:46:53,99
00:46:53,100
00:46:53,101
00:46:53,102
00:46:53,103
00:46:54,104
00:46:54,105
00:46:54,106
00:46:54,107
00:46:55,108
00:46:55,109
00:46:55,110
00:46:55,111
00:46:55,112
00:46:56,113
00:46:56,114
00:46:56,115
00:46:56,116
00:46:56,117
00:46:57,118
00:46:57,119
00:46:57,120
00:46:57,121
00:46:57,122
00:46:58,123
00:46:58,124
00:46:58,125
00:46:58,126
00:46:58,127
00:46:59,128
